Названия строк;1;2;3;4;5;6;7;8;9;10;11;12
00000000-0000-0000-0000-050576355004;2 697;3 785;3 916;4 542;4 181;4 447;4 048;4 914;4 329;4 397;5 131;6 755
68A45360-2413-11E7-8B42-005056A225F3;42;95;114;75;1 522;3 021;3 467;14 219;8 031;8 229;7 821;6 240
7FF5CCDF-DBD5-11E6-8C73-005056A2384C;3 647;2 995;3 446;2 926;3 179;3 937;4 226;4 346;3 785;4 642;5 369;6 422
1FE40B65-73BD-4E56-AACA-E8679574CA3F;506;433;448;1 690;940;2 037;5 306;8 578;7 923;7 119;6 423;7 378
9A23B52A-207F-11E9-90E2-005056A27BA9;1 739;2 691;3 515;2 994;3 306;4 480;4 190;5 368;5 112;4 837;4 368;4 978
F910A5BE-BD6B-11E8-8635-005056A225F3;638;1 098;1 442;1 634;2 218;4 425;6 005;6 623;7 452;5 492;5 121;4 948
Ручной инструмент;;;;;;;;;;;;
96597DFB-6816-11E5-B1B7-00505602071E;61 998;92 912;118 681;118 372;102 094;126 660;122 016;122 116;130 518;128 624;135 438;159 537
45426A54-67A1-4F3A-9C46-B74F3ACC9B40;60 648;88 761;121 192;124 539;105 589;120 019;119 513;120 901;132 609;119 741;108 399;126 145
31793C14-E298-11E4-A937-005056020188;42 663;56 181;72 989;73 328;64 092;61 177;59 069;64 397;63 411;59 129;60 231;65 059
25397CD5-1B92-11E7-8B42-005056A225F3;15 339;23 436;33 952;37 513;34 587;36 658;36 518;43 383;41 700;35 124;38 779;37 304
06EA18FC-DCE3-11E8-9731-005056A27BA9;24 659;30 343;28 253;30 525;27 265;29 854;37 846;35 600;38 078;36 838;37 447;36 565
00000000-0000-0000-0000-000025535643;14 547;23 865;30 825;29 475;25 646;29 634;31 638;33 554;35 423;29 565;26 748;29 166
2B8B9DC3-211E-11E8-9C6C-005056A225F3;11 896;15 585;21 510;25 983;22 522;32 084;32 712;37 646;36 800;31 067;29 284;29 864
F927ABAC-BD6B-11E8-8635-005056A225F3;13 100;20 303;20 422;21 290;18 930;19 042;18 377;22 418;23 166;16 016;28 833;33 039
2A00B92C-CC0B-11E5-A152-00505602071E;10 022;15 659;17 647;18 619;14 701;16 059;17 357;19 439;22 874;21 377;21 045;22 434
64EC49C7-A534-4497-ABE3-6EA93C08BFF1;11 226;14 562;17 566;16 900;11 911;15 210;16 014;17 782;18 754;16 558;18 883;21 850
C5794FAF-9747-11E5-8E25-00505602071E;10 215;14 346;17 004;17 363;13 837;14 325;16 971;17 343;17 609;18 252;18 728;20 871
7E5A52EA-158E-11E5-9252-0050560205C4;7 600;10 902;14 190;14 788;12 726;15 597;16 910;18 155;21 051;18 426;18 547;20 711
00000000-0000-0000-0000-050082459538;5 738;13 042;17 878;18 152;16 230;15 902;14 014;14 590;14 840;14 690;13 183;14 963
1D1E038F-66B4-11E5-B1B7-00505602071E;5 588;8 032;8 407;11 885;11 212;13 229;13 224;13 496;19 198;18 582;19 503;19 857
846E05A0-36DE-11E6-B059-005056A2384C;7 153;9 366;11 424;11 759;9 497;9 676;9 000;8 927;9 239;11 486;13 536;15 228
0364971E-ECB2-11E4-9B0E-0050560205C4;4 130;9 296;9 775;12 723;10 218;9 524;8 619;11 458;10 292;8 278;8 579;8 245
0ED106BF-1FAE-11E9-90E2-005056A27BA9;6 079;10 740;8 594;8 165;8 088;8 473;8 298;7 598;8 058;10 103;9 982;11 450
9A23B52A-207F-11E9-90E2-005056A27BA9;3 286;4 598;6 429;6 092;7 234;12 077;13 332;16 374;9 595;7 865;7 795;8 810
00000000-0000-0000-0000-051077987202;4 582;6 506;8 535;7 641;6 444;6 426;8 212;8 513;8 258;11 440;10 647;13 248
158CE55E-4D63-46C3-83FC-D0D78A9D28C0;5 998;7 923;9 899;9 842;7 901;8 373;9 900;9 274;8 405;7 615;7 353;7 453
00000000-0000-0000-0000-050984831839;3 556;4 791;7 679;6 046;5 638;7 613;7 121;11 245;9 735;11 026;10 760;11 707
2D309556-07D3-4C2D-8551-5F7973476DD9;4 065;6 553;8 811;9 304;6 245;6 533;7 328;6 417;7 286;8 960;10 474;13 598
81621037-4875-496A-992F-283C6CA6535F;3 232;3 865;5 918;9 182;7 767;7 395;7 339;9 423;9 420;10 133;8 529;8 029
00000000-0000-0000-0000-050576355004;710;2 493;3 220;3 088;4 547;5 338;6 542;8 695;8 717;9 626;14 369;16 710
4BE2138A-31DA-11E4-9F3E-005056020188;3 135;5 471;6 166;7 013;7 496;5 632;5 118;5 952;5 291;5 142;5 109;12 429
6FB80DC6-0BC8-4F06-86DF-D69493A4B880;4 709;6 498;7 592;7 531;6 138;5 889;4 928;5 329;5 580;4 645;5 167;7 224
68A45360-2413-11E7-8B42-005056A225F3;623;961;719;755;2 147;2 499;3 827;12 457;9 863;11 200;11 972;11 756
00000000-0000-0000-0000-050144018314;4 007;5 828;7 646;6 396;4 658;4 887;5 440;6 640;6 710;6 284;4 749;4 226
30AEAA9A-4396-11E6-B059-005056A2384C;3 802;5 322;6 201;6 334;4 607;5 037;5 818;6 115;5 677;6 209;5 497;6 445
4F65B5D0-6B93-11E7-93EC-005056A225F3;4 900;7 246;6 692;6 375;3 981;4 219;5 545;5 415;3 938;3 969;3 766;5 505
2C48B5F2-138F-11E6-93E5-005056A2384C;2 708;4 153;5 618;5 660;4 992;4 955;5 287;5 468;5 364;5 143;5 215;6 170
F8EB29DF-1C0A-11E6-9D6C-005056A2384C;2 485;4 006;4 532;4 547;4 303;4 325;4 739;4 984;5 592;5 657;5 865;8 482
00000000-0000-0000-0000-000000000000;4 485;4 917;5 324;6 407;4 934;5 647;4 782;7 140;4 501;3 693;3 358;3 234
1390AE02-F6D0-4CD8-B00D-C4F04AA11999;2 399;3 012;2 843;2 649;2 641;5 019;5 560;5 580;6 859;6 087;7 687;6 277
392DF915-CF01-492C-B6E5-58CF957D5178;2 090;3 298;5 374;5 460;3 878;2 959;5 697;5 587;3 865;4 236;6 485;7 178
00000000-0000-0000-0000-050742978978;2 509;3 615;4 355;4 689;4 347;4 872;4 388;5 232;4 531;4 217;4 315;4 864
7FF5CCDF-DBD5-11E6-8C73-005056A2384C;2 081;2 769;3 786;3 369;3 264;3 800;4 846;5 094;4 714;5 179;5 732;6 562
00000000-0000-0000-0000-050045798313;3 271;3 707;4 768;4 124;2 997;3 213;3 379;3 605;4 998;5 181;5 461;6 297
EA5D6E2B-06BF-11E6-BD7A-005056A2384C;2 632;3 302;3 821;4 181;3 376;3 999;3 862;4 266;4 618;4 979;5 125;6 634
EF3E7C2D-F92C-11E8-A073-005056A27BA9;3 518;4 045;4 416;4 532;3 588;3 900;3 425;4 435;3 589;3 264;3 855;4 539
AC52DD7C-19D7-47AD-B3BE-A9CCE5A7D568;143;228;698;562;1 052;3 003;5 259;6 122;6 493;7 311;7 167;7 638
0C9A54BC-A431-11E7-9B6C-005056A225F3;972;1 605;1 973;1 657;2 291;2 572;3 597;4 290;6 375;5 689;6 604;7 386
00000000-0000-0000-0000-050810068924;1 637;2 717;3 426;3 329;2 978;3 692;5 209;5 404;3 405;3 253;3 006;5 111
954E42CE-C930-11E7-BC22-005056A225F3;2 361;3 886;4 147;3 573;2 525;3 272;2 811;4 424;4 307;3 184;3 618;4 471
00000000-0000-0000-0000-000000676452;2 347;2 675;3 647;3 077;2 671;2 695;2 923;3 183;4 506;3 895;4 302;5 210
50AB6771-15C5-417B-9F28-E9B308098DBB;281;1 031;2 152;2 407;2 602;3 826;3 299;6 180;6 290;4 885;4 405;2 997
FBD9E07C-3413-11E9-99D9-C69417C43C93;1 460;4 059;4 842;4 773;4 247;3 922;3 697;3 240;2 265;1 935;1 848;1 535
B548F6A4-B3F6-4E85-80EC-3F54A39BEC65;2 039;2 653;3 525;3 074;3 024;3 797;3 632;3 368;3 245;2 887;3 349;2 968
F7FBDC80-57F6-49E0-BB9C-B520A2CEDD39;1 482;2 017;2 453;4 712;3 274;3 712;3 709;3 498;4 265;3 487;3 028;1 680
00000000-0000-0000-0000-050335350170;2 377;2 148;3 612;2 652;3 445;3 854;3 358;2 213;3 676;2 607;2 594;2 685
Крепеж;;;;;;;;;;;;
64F6AB2D-72DB-4339-8D1D-BFE759AF8571;50 410;70 479;78 627;89 781;92 503;122 285;122 349;116 607;118 048;117 427;130 312;138 794
96597DFB-6816-11E5-B1B7-00505602071E;34 900;51 801;59 826;74 979;63 427;64 343;64 405;68 260;76 083;65 939;67 804;72 403
45426A54-67A1-4F3A-9C46-B74F3ACC9B40;22 461;38 262;46 065;42 515;32 859;36 775;31 736;28 954;28 696;29 411;28 247;30 529
